#{"t_start": 1757053935.2057338, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
315.0,3105,1.385684
240.0,4049,2.119724
65.0,1397,2.35941
155.0,2331,2.756709
155.0,1739,3.052928
160.0,2043,3.399411
140.0,1749,3.696748
35.0,1565,3.963392
380.0,2619,4.404808
80.0,1495,4.663471
30.0,1649,4.94416
140.0,2599,5.384095
150.0,2051,5.731111
110.0,2103,6.24208
50.0,1323,6.468141
175.0,2619,6.916279
185.0,1603,7.214854
120.0,1473,7.467919
180.0,2037,7.826281
155.0,2303,8.415093
110.0,2033,8.762887
120.0,1943,9.09265
30.0,1059,9.273393
120.0,1845,9.584241
105.0,1481,9.836243
165.0,1933,10.162191
110.0,1665,10.445066
200.0,2625,10.950376
110.0,1893,11.277155
110.0,1827,11.587789
30.0,1199,11.791748
135.0,2219,12.200451
135.0,1685,12.486109
90.0,1451,12.748681
135.0,2079,13.173752
145.0,2231,13.59873
135.0,2125,13.971404
110.0,2097,14.334524
110.0,1995,14.675423
135.0,2293,15.072383
105.0,2437,15.487027
95.0,1251,15.701671
65.0,1503,16.039034
35.0,1727,16.335074
210.0,4043,17.063808
120.0,1919,17.391404
135.0,2137,17.75945
235.0,2957,18.283972
60.0,1117,18.478402
80.0,1495,18.732632
310.0,3949,21.328477
105.0,2361,21.755026
75.0,1563,22.055797
70.0,1301,22.28825
175.0,2243,22.670546
175.0,2185,23.040501
180.0,2839,23.52309
30.0,1201,23.725927
120.0,1911,24.050535
225.0,2539,24.477051
120.0,2381,24.879082
155.0,2107,25.238733
35.0,1481,25.491669
110.0,2285,25.930866
190.0,2493,26.373229
165.0,2245,26.760217
140.0,1969,27.144107
520.0,2985,27.654701
380.0,2499,28.126852
145.0,1793,28.439784
65.0,1741,28.735948
135.0,2207,29.110107
110.0,1589,29.385672
45.0,1225,29.595587
130.0,1587,29.867219
155.0,2227,30.241452
85.0,1877,30.56015
150.0,1773,30.934237
110.0,1837,31.25242
65.0,1399,31.571032
235.0,2635,32.057426
120.0,2269,32.442947
225.0,2571,32.878892
280.0,2881,33.375029
240.0,4817,34.187525
305.0,2627,34.663912
30.0,1347,34.899785
190.0,2963,35.442627
155.0,2347,35.899748
180.0,2313,36.338622
10.0,1585,36.614247
165.0,2265,37.04188
105.0,1449,37.296663
45.0,1613,37.575675
425.0,2863,38.099192
65.0,1177,38.302839
105.0,1377,38.549061
80.0,1847,38.865463
80.0,1781,41.049372
105.0,2005,41.400249
155.0,2723,41.88148
250.0,2733,42.3784
65.0,1497,42.641042
65.0,1587,42.911736
120.0,2089,43.26973
35.0,1609,43.561217
80.0,1723,43.936957
105.0,1595,44.21442
225.0,2879,44.709019
185.0,2573,45.145914
75.0,1877,45.466184
350.0,2221,45.889584
340.0,2659,46.37799
230.0,2173,46.779057
105.0,1761,47.117881
285.0,2853,47.604553
215.0,2283,48.006585
55.0,1311,48.274379
90.0,1917,48.60431
150.0,1879,48.922774
155.0,1901,49.24524
155.0,3305,49.809506
205.0,2429,50.231609
170.0,2339,50.634856
120.0,2253,51.087886
85.0,1533,51.350736
135.0,2205,51.727987
95.0,1525,52.067617
65.0,1785,52.379044
125.0,2263,52.777329
35.0,1671,53.083186
185.0,2859,53.576325
210.0,2257,53.957358
185.0,2365,54.366152
120.0,1861,54.68698
85.0,1485,54.944128
105.0,1639,55.219789
230.0,2697,55.676227
35.0,1537,55.995142
60.0,1961,56.332454
100.0,2425,56.744881
210.0,3563,57.372825
180.0,2611,57.813519
210.0,2931,58.339726
135.0,1561,58.609477
155.0,2289,58.994935
100.0,1479,61.44895
35.0,1571,61.722748
240.0,2167,62.180193
30.0,1253,62.396016
230.0,2571,62.828716
110.0,1959,63.163591
140.0,1877,63.542729
260.0,2603,63.992723
75.0,1523,64.259366
155.0,2203,64.633204
120.0,2277,65.021981
125.0,2039,65.395697
65.0,1145,65.614926
30.0,1621,66.003287
55.0,1355,66.234441
180.0,2117,66.595844
190.0,1585,66.863368
195.0,3073,67.424193
125.0,1505,67.678593
120.0,1941,68.006749
80.0,1947,68.340857
185.0,2055,68.692562
80.0,1521,68.952645
135.0,2127,69.310593
135.0,2035,69.658173
120.0,1587,69.926302
40.0,1075,70.110843
35.0,1199,70.318396
210.0,2139,70.687775
20.0,1247,70.992452
